crop_path,word_text,char_indices,word_length,language
,বৃহত্তর,,7,bengali
,বৃহত্তর,,7,bengali
,বৃহত্তর,,7,bengali
,অর্থে,,5,bengali
,অর্থে,,5,bengali
,অর্থে,,5,bengali
,মানুষ,,5,bengali
,মানুষ,,5,bengali
,মানুষ,,5,bengali
,ধরিত্রীর,,8,bengali
,ধরিত্রীর,,8,bengali
,ধরিত্রীর,,8,bengali
,সন্তান,,6,bengali
,সন্তান,,6,bengali
,সন্তান,,6,bengali
,এই,,2,bengali
,এই,,2,bengali
,এই,,2,bengali
,বিশাল,,5,bengali
,বিশাল,,5,bengali
,বিশাল,,5,bengali
,ভূখন্ডে,,7,bengali
,ভূখন্ডে,,7,bengali
,ভূখন্ডে,,7,bengali
,মানুষ,,5,bengali
,মানুষ,,5,bengali
,মানুষ,,5,bengali
,জন্ম,,4,bengali
,জন্ম,,4,bengali
,জন্ম,,4,bengali
,নেয়,,3,bengali
,নেয়,,3,bengali
,নেয়,,3,bengali
, ,,1,english
, ,,1,english
, ,,1,english
,যে,,2,bengali
,যে,,2,bengali
,যে,,2,bengali
,দেশের,,5,bengali
,দেশের,,5,bengali
,দেশের,,5,bengali
,আলো,,3,bengali
,আলো,,3,bengali
,আলো,,3,bengali
,বাতাস,,5,bengali
,বাতাস,,5,bengali
,বাতাস,,5,bengali
,ধূলিকণায়,,8,bengali
,ধূলিকণায়,,8,bengali
,ধূলিকণায়,,8,bengali
,তার,,3,bengali
,তার,,3,bengali
,তার,,3,bengali
,নিশ্বাস,,7,bengali
,নিশ্বাস,,7,bengali
,নিশ্বাস,,7,bengali
, ,,1,english
, ,,1,english
, ,,1,english
,প্রশ্বাস,,8,bengali
,প্রশ্বাস,,8,bengali
,প্রশ্বাস,,8,bengali
, ,,1,english
, ,,1,english
, ,,1,english
,সে,,2,bengali
,সে,,2,bengali
,সে,,2,bengali
,দেশের,,5,bengali
,দেশের,,5,bengali
,দেশের,,5,bengali
,ধর্ম,,4,bengali
,ধর্ম,,4,bengali
,ধর্ম,,4,bengali
,-,,1,english
,-,,1,english
,-,,1,english
,ভাষা,,4,bengali
,ভাষা,,4,bengali
,ভাষা,,4,bengali
, ,,1,english
, ,,1,english
, ,,1,english
,পালা,,4,bengali
,পালা,,4,bengali
,পালা,,4,bengali
,-,,1,english
,-,,1,english
,-,,1,english
,তার,,3,bengali
,তার,,3,bengali
,তার,,3,bengali
,একাত্ম,,6,bengali
,একাত্ম,,6,bengali
,একাত্ম,,6,bengali
,হওয়ার,,5,bengali
,হওয়ার,,5,bengali
,হওয়ার,,5,bengali
,আকৃতি,,5,bengali
,আকৃতি,,5,bengali
,আকৃতি,,5,bengali
,ও,,1,bengali
,ও,,1,bengali
,ও,,1,bengali
,মুক্তি,,6,bengali
,মুক্তি,,6,bengali
,মুক্তি,,6,bengali
,সেই,,3,bengali
,সেই,,3,bengali
,সেই,,3,bengali
,হলো,,3,bengali
,হলো,,3,bengali
,হলো,,3,bengali
,তার,,3,bengali
,তার,,3,bengali
,তার,,3,bengali
,পর্বনে,,6,bengali
,পর্বনে,,6,bengali
,পর্বনে,,6,bengali
,দেশই,,4,bengali
,দেশই,,4,bengali
,দেশই,,4,bengali
,আর,,2,bengali
,আর,,2,bengali
,আর,,2,bengali
,তার,,3,bengali
,তার,,3,bengali
,তার,,3,bengali
,ও,,1,bengali
,ও,,1,bengali
,ও,,1,bengali
, ,,1,english
, ,,1,english
, ,,1,english
,স্বদেশ,,6,bengali
,স্বদেশ,,6,bengali
,স্বদেশ,,6,bengali
,সেই,,3,bengali
,সেই,,3,bengali
,সেই,,3,bengali
,সন্তান,,6,bengali
,সন্তান,,6,bengali
,সন্তান,,6,bengali
,।,,1,english
,।,,1,english
,।,,1,english
,সেই,,3,bengali
,সেই,,3,bengali
,সেই,,3,bengali
,দেশের,,5,bengali
,দেশের,,5,bengali
,দেশের,,5,bengali
,দেশের,,5,bengali
,দেশের,,5,bengali
,দেশের,,5,bengali
,ভালবাসা,,7,bengali
,ভালবাসা,,7,bengali
,ভালবাসা,,7,bengali
,হচ্ছে,,5,bengali
,হচ্ছে,,5,bengali
,হচ্ছে,,5,bengali
,মানুষই,,6,bengali
,মানুষই,,6,bengali
,মানুষই,,6,bengali
,হলো,,3,bengali
,হলো,,3,bengali
,হলো,,3,bengali
,প্রতি,,5,bengali
,প্রতি,,5,bengali
,প্রতি,,5,bengali
,মমত্ববোধ,,8,bengali
,মমত্ববোধ,,8,bengali
,মমত্ববোধ,,8,bengali
,স্বদেশপ্রেম,,11,bengali
,স্বদেশপ্রেম,,11,bengali
,স্বদেশপ্রেম,,11,bengali
,।,,1,english
,।,,1,english
,।,,1,english
,দেশপ্রেম,,8,bengali
,দেশপ্রেম,,8,bengali
,দেশপ্রেম,,8,bengali
,মানুষের,,7,bengali
,মানুষের,,7,bengali
,মানুষের,,7,bengali
,স্বভাবজাত,,9,bengali
,স্বভাবজাত,,9,bengali
,স্বভাবজাত,,9,bengali
,হলো,,3,bengali
,হলো,,3,bengali
,হলো,,3,bengali
,মমত্ববোধই,,9,bengali
,মমত্ববোধই,,9,bengali
,মমত্ববোধই,,9,bengali
,গভীর,,4,bengali
,গভীর,,4,bengali
,গভীর,,4,bengali
,গুণ,,3,bengali
,গুণ,,3,bengali
,গুণ,,3,bengali
,।,,1,english
,।,,1,english
,।,,1,english
,সামাজিক,,7,bengali
,সামাজিক,,7,bengali
,সামাজিক,,7,bengali
,মানুষের,,7,bengali
,মানুষের,,7,bengali
,মানুষের,,7,bengali
,দেশপ্রেমের,,10,bengali
,দেশপ্রেমের,,10,bengali
,দেশপ্রেমের,,10,bengali
,উৎস,,3,bengali
,উৎস,,3,bengali
,উৎস,,3,bengali
,স্বজাতি,,7,bengali
,স্বজাতি,,7,bengali
,স্বজাতি,,7,bengali
,-,,1,english
,-,,1,english
,-,,1,english
,প্রীতির,,7,bengali
,প্রীতির,,7,bengali
,প্রীতির,,7,bengali
,বন্ধন,,5,bengali
,বন্ধন,,5,bengali
,বন্ধন,,5,bengali
,।,,1,english
,।,,1,english
,।,,1,english
,দেশপ্রীতি,,9,bengali
,দেশপ্রীতি,,9,bengali
,দেশপ্রীতি,,9,bengali
,তাই,,3,bengali
,তাই,,3,bengali
,তাই,,3,bengali
,মানুষের,,7,bengali
,মানুষের,,7,bengali
,মানুষের,,7,bengali
,এক,,2,bengali
,এক,,2,bengali
,এক,,2,bengali
,মহৎ,,3,bengali
,মহৎ,,3,bengali
,মহৎ,,3,bengali
