crop_path,word_text,char_indices,word_length,language
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word1.jpg,ছুটি,25 59 29 57,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word2.jpg,এমন,13 44 38,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word3.jpg,একটি,13 19 29 57,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word4.jpg,বিষয়,42 57 53 45 2,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word5.jpg,যার,45 56 46,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word6.jpg,নানা,38 56 38 56,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word7.jpg,দিক,36 57 19,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word8.jpg,আছে,4 25 65,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word9.jpg,কেউ,19 65 7,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word10.jpg,ছুটি,25 59 29 57,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word11.jpg,কাটাতে,19 56 29 56 34 65,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word12.jpg,চান,24 56 38,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word13.jpg,একা,13 19 56,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word14.jpg,কেউ,19 65 7,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word15.jpg,আবার,4 42 56 46,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word16.jpg,দলবল,36 48 42 48,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word17.jpg,নিয়ে,38 57 45 2 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word18.jpg,আবার,4 42 56 46,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word19.jpg,দলবলের,36 48 42 48 65 46,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word20.jpg,মধ্যে,44 37 71 45 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word21.jpg,পড়তে,40 31 2 34 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word22.jpg,পারে,40 56 46 65,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word23.jpg,পরিবারের,40 46 57 42 56 46 65 46,8,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word24.jpg,লোকজন,48 69 19 26 38,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word25.jpg,কিংবা,19 57 73 42 56,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word26.jpg,বন্ধু,42 38 71 37 59,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word27.jpg,বান্ধব,42 56 38 71 37 42,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word28.jpg,ও,17,1,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word29.jpg,হ্যাঁ,55 71 45 56 72,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word30.jpg,ছুটি,25 59 29 57,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word31.jpg,কাটানো,19 56 29 56 38 69,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word32.jpg,মানে,44 56 38 65,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word33.jpg,কিন্তু,19 57 38 71 34 59,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word34.jpg,বেড়াতে,42 65 31 2 56 34 65,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word35.jpg,যাওয়ার,45 56 17 45 2 56 46,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word36.jpg,কথা,19 35 56,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word37.jpg,হচ্ছে,55 24 71 25 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word38.jpg,ভারতীয়দের,43 56 46 34 58 45 2 36 65 46,10,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word39.jpg,মধ্যে,44 37 71 45 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word40.jpg,পরিবারের,40 46 57 42 56 46 65 46,8,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word41.jpg,সঙ্গে,54 23 71 21 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word42.jpg,ভ্রমণের,43 71 46 44 33 65 46,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word43.jpg,প্রবনতা,40 71 46 42 38 34 56,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word44.jpg,অবশ্য,3 42 52 71 45,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word45.jpg,বেশি,42 65 52 57,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word46.jpg,কিন্তু,19 57 38 71 34 59,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word47.jpg,এমন,13 44 38,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word48.jpg,কিছু,19 57 25 59,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word49.jpg,ভ্রমনস্থল,43 71 46 44 38 54 71 35 48,9,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word50.jpg,রয়েছে,46 45 2 65 25 65,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word51.jpg,যেখানে,45 65 20 56 38 65,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word52.jpg,পরিবারের,40 46 57 42 56 46 65 46,8,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word53.jpg,সঙ্গে,54 23 71 21 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word54.jpg,না,38 56,2,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word55.jpg,যাওয়াই,45 56 17 45 2 56 5,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word56.jpg,ভালো,43 56 48 69,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word57.jpg,গেলে,21 65 48 65,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word58.jpg,লজ্জায়,48 26 71 26 56 45 2,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word59.jpg,পড়তে,40 31 2 34 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word60.jpg,হয়,55 45 2,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word61.jpg,তাই,34 56 5,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word62.jpg,এসব,13 54 42,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word63.jpg,স্থানে,54 71 35 56 38 65,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word64.jpg,বন্ধুদের,42 38 71 37 59 36 65 46,8,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word65.jpg,সঙ্গেই,54 23 71 21 65 5,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word66.jpg,বেড়াতে,42 65 31 2 56 34 65,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word67.jpg,যান,45 56 38,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word68.jpg,দারুন,36 56 46 59 38,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word69.jpg,উপভোগ,7 40 43 69 21,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word70.jpg,করবেন,19 46 42 65 38,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word71.jpg,বন্ধুদের,42 38 71 37 59 36 65 46,8,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word72.jpg,সঙ্গে,54 23 71 21 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word73.jpg,ঘুরতে,22 59 46 34 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word74.jpg,যাওয়ার,45 56 17 45 2 56 46,7,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word75.jpg,জন্য,26 38 71 45,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word76.jpg,দারুন,36 56 46 59 38,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word77.jpg,জায়গা,26 56 45 2 21 56,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word78.jpg,হল,55 48,2,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word79.jpg,কসউল,19 54 7 48,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word80.jpg,হিমাচল,55 57 44 56 24 48,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word81.jpg,প্রদেশের,40 71 46 36 65 52 65 46,8,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word82.jpg,কুলু,19 59 48 59,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word83.jpg,জেলার,26 65 48 56 46,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word84.jpg,এই,13 5,2,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word85.jpg,সাজানো,54 56 26 56 38 69,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word86.jpg,গোছানো,21 69 25 56 38 69,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word87.jpg,গ্রাম,21 71 46 56 44,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word88.jpg,বা,42 56,2,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word89.jpg,শিল,52 57 48,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word90.jpg,শহর,52 55 46,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word91.jpg,হল,55 48,2,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word92.jpg,এই,13 5,2,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word93.jpg,কসউল,19 54 7 48,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word94.jpg,এখানে,13 20 56 38 65,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word95.jpg,লোকজন,48 69 19 26 38,5,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word96.jpg,মূলত,44 60 48 34,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word97.jpg,অবসর,3 42 54 46,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word98.jpg,যাপনের,45 56 40 38 65 46,6,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word99.jpg,জন্য,26 38 71 45,4,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word100.jpg,যান,45 56 38,3,bengali
C:\Users\T2510600\Downloads\BAOCR\out\d3\crops\IMG_20221226_0001_word101.jpg,তবে,34 42 65,3,bengali
